,Maker,Miles per Gallon,Cylinders,Displacement,HP,Weight,Acceleration,Model,Origin,L/100km,kW,Fuel Consumption Type
0,Mazda GLC,46.6,4.0,86.0,65.0,2110.0,17.9,80,Japan,5.0475059721030044,48.47049168,Economic
3,Volkswagen Pickup,44.0,4.0,97.0,52.0,2130.0,24.6,82,Europe,5.345767688636363,38.776393344,Economic
4,Volkswagen Dasher (diesel),43.4,4.0,90.0,48.0,2335.0,23.7,80,Europe,5.419672311059908,35.793593856,Economic
5,Volkswagen Rabbit Custom Diesel,43.1,4.0,90.0,48.0,1985.0,21.5,78,Europe,5.457396248259861,35.793593856,Economic
6,Volkswagen Rabbit,41.5,4.0,98.0,76.0,2144.0,14.7,80,Europe,5.667801886746988,56.673190272,Economic
7,Renault Lecar Deluxe,40.9,4.0,85.0,0.0,1835.0,17.3,80,Europe,5.750948124694377,0.0,Economic
8,Datsun 210,40.8,4.0,85.0,65.0,2110.0,19.2,80,Japan,5.765043585784314,48.47049168,Economic
9,Datsun B210 GX,39.4,4.0,85.0,70.0,2070.0,18.6,78,Japan,5.969892850253808,52.198991039999996,Economic
10,Toyota Starlet,39.1,4.0,79.0,58.0,1755.0,16.9,81,Japan,6.015697654731458,43.250592576,Expensive
11,Plymouth Champ,39.0,4.0,86.0,64.0,1875.0,16.4,81,US,6.03112252051282,47.724791808,Expensive
12,Toyota Corolla Tercel,38.1,4.0,89.0,60.0,1968.0,18.8,80,Japan,6.1735899816272966,44.74199232,Expensive
13,Datsun 310 GX,38.0,4.0,91.0,67.0,1995.0,16.2,82,Japan,6.189836271052632,49.961891424,Expensive
14,Honda Civic,38.0,4.0,91.0,67.0,1965.0,15.0,82,Japan,6.189836271052632,49.961891424,Expensive
15,Plymouth Horizon Miser,38.0,4.0,105.0,63.0,2125.0,14.7,82,US,6.189836271052632,46.979091935999996,Expensive
16,Oldsmobile Cutlass Ciera (diesel),38.0,6.0,262.0,85.0,3015.0,17.0,82,US,6.189836271052632,63.38448912,Expensive
17,Toyota Tercel,37.7,4.0,89.0,62.0,2050.0,17.3,81,Japan,6.239092262599469,46.233392064,Expensive
18,Fiat Strada Custom,37.3,4.0,91.0,69.0,2130.0,14.7,79,Europe,6.305999418230564,51.453291168,Expensive
19,Datsun 310,37.2,4.0,86.0,65.0,2019.0,16.4,80,Japan,6.322951029569892,48.47049168,Expensive
20,Datsun 210 MPG,37.0,4.0,85.0,65.0,1975.0,19.4,81,Japan,6.3571291432432435,48.47049168,Expensive
21,Datsun 510 Hatchback,37.0,4.0,119.0,92.0,2434.0,15.0,80,Japan,6.3571291432432435,68.604388224,Expensive
22,Mazda GLC Custom l,37.0,4.0,91.0,68.0,2025.0,18.2,82,Japan,6.3571291432432435,50.707591296,Expensive
23,Audi 5000s (diesel),36.4,5.0,121.0,67.0,2950.0,19.9,80,Europe,6.461916986263737,49.961891424,Expensive
24,Honda Civic CVCC,36.1,4.0,91.0,60.0,1800.0,16.4,78,Japan,6.515617127423822,44.74199232,Expensive
25,Ford Fiesta,36.1,4.0,98.0,66.0,1800.0,14.4,78,US,6.515617127423822,49.216191552,Expensive
26,Volkswagen Rabbit l,36.0,4.0,105.0,74.0,1980.0,15.3,82,Europe,6.533716063888889,55.181790528,Expensive
27,Renault 5 GTL,36.0,4.0,79.0,58.0,1825.0,18.6,77,Europe,6.533716063888889,43.250592576,Expensive
28,Dodge Charger 2.2,36.0,4.0,135.0,84.0,2370.0,13.0,82,US,6.533716063888889,62.638789248,Expensive
29,Honda Accord,36.0,4.0,107.0,75.0,2205.0,14.5,82,Japan,6.533716063888889,55.927490399999996,Expensive
30,Nissan Stanza XE,36.0,4.0,120.0,88.0,2160.0,14.5,82,Japan,6.533716063888889,65.62158873599999,Expensive
31,Mercury Lynx l,36.0,4.0,98.0,70.0,2125.0,17.3,82,US,6.533716063888889,52.198991039999996,Expensive
32,Dodge Colt Hatchback Custom,35.7,4.0,98.0,80.0,1915.0,14.4,79,US,6.588621240896358,59.65598976,Expensive
33,Honda Civic 1300,35.1,4.0,81.0,60.0,1760.0,16.1,81,Japan,6.701247245014245,44.74199232,Expensive
34,Triumph TR7 Coupe,35.0,4.0,122.0,88.0,2500.0,15.1,80,Europe,6.720393665714286,65.62158873599999,Expensive
35,Datsun 1200,35.0,4.0,72.0,69.0,1613.0,18.0,71,Japan,6.720393665714286,51.453291168,Expensive
36,Plymouth Horizon 4,34.7,4.0,105.0,63.0,2215.0,14.9,81,US,6.778495051873199,46.979091935999996,Expensive
37,Plymouth Horizon TC3,34.5,4.0,105.0,70.0,2150.0,14.9,79,US,6.8177906753623185,52.198991039999996,Expensive
38,Renault 18i,34.5,4.0,100.0,0.0,2320.0,15.8,81,Europe,6.8177906753623185,0.0,Expensive
39,Ford Escort 4W,34.4,4.0,98.0,65.0,2045.0,16.2,81,US,6.8376098343023255,48.47049168,Expensive
40,Audi 4000,34.3,4.0,97.0,78.0,2188.0,15.8,80,Europe,6.8575445568513125,58.164590016,Expensive
41,Plymouth Horizon,34.2,4.0,105.0,70.0,2200.0,13.2,79,US,6.877595856725145,52.198991039999996,Expensive
42,Mazda GLC Deluxe,34.1,4.0,86.0,65.0,1975.0,15.2,79,Japan,6.897764759530792,48.47049168,Expensive
43,Mazda GLC 4,34.1,4.0,91.0,68.0,1985.0,16.0,81,Japan,6.897764759530792,50.707591296,Expensive
44,Toyota Corolla,34.0,4.0,108.0,70.0,2245.0,16.9,82,Japan,6.9180523029411765,52.198991039999996,Expensive
45,Chevrolet Cavalier 2-door,34.0,4.0,112.0,88.0,2395.0,18.0,82,US,6.9180523029411765,65.62158873599999,Expensive
46,Subaru DL,33.8,4.0,97.0,67.0,2145.0,18.0,80,Japan,6.95898752366864,49.961891424,Expensive
47,Honda Prelude,33.7,4.0,107.0,75.0,2210.0,14.4,81,Japan,6.979637338278931,55.927490399999996,Expensive
48,Datsun F-10 Hatchback,33.5,4.0,85.0,70.0,1945.0,16.8,77,Japan,7.0213068149253735,52.198991039999996,Expensive
49,Dodge Colt m/m,33.5,4.0,98.0,83.0,2075.0,15.9,77,US,7.0213068149253735,61.893089376,Expensive
50,Pontiac Phoenix,33.5,4.0,151.0,90.0,2556.0,13.2,79,US,7.0213068149253735,67.11298848,Expensive
51,Honda Civic CVCC,33.0,4.0,91.0,53.0,1795.0,17.5,75,Japan,7.127690251515151,39.522093216,Expensive
52,Volkswagen Jetta,33.0,4.0,105.0,74.0,2190.0,14.2,81,Europe,7.127690251515151,55.181790528,Expensive
53,Honda Civic,33.0,4.0,91.0,53.0,1795.0,17.4,76,Japan,7.127690251515151,39.522093216,Expensive
